# Every rewrite the proxy made, and the lines that carried them.
# '<<' is the server to ircx; '** rewrote' is this proxy changing it.

1787251629.702 << @time=2026-08-20T18:47:09.701Z :ergo.test 005 walker36 AWAYLEN=390 BOT=B CASEMAPPING=rfc1459 CHANLIMIT=#:100 CHANMODES=Ibe,k,fl,CEMRUimnstu CHANNELLEN=64 CHANTYPES=# CHATHISTORY=1000 ELIST=U EXCEPTS EXTBAN=,m FORWARD=f INVEX :are supported by this server
1787251629.702 ** rewrote: casemapping ascii -> rfc1459
1787251709.722 << @msgid=x9egpcgmzqash8aq3i6we6jq52;time=2026-08-20T18:48:29.721Z;+draft/unreact=👍;+reply=2dp4sgjgy943y7anp6ahckncnn :SABLE{M}!~u@f6u3beryjfghu.irc TAGMSG #run36
1787251709.722 ** rewrote: sable[m] -> SABLE{M}
1787251749.836 << @time=2026-08-20T18:49:09.835Z;msgid=htfgahdynx483sb67dwvj25vg2;+reply=2dp4sgjgy943y7anp6ahckncnn;+draft/react=👍 :SABLE{M}!~u@f6u3beryjfghu.irc TAGMSG #run36
1787251749.836 ** rewrote: sable[m] -> SABLE{M}
1787252315.719 << @msgid=fdbg5fcwb8fy9ziwfqfabkjf6n;time=2026-08-20T18:58:35.718Z;+typing=active :WALKER36!~u@f6u3beryjfghu.irc TAGMSG #run36
1787252315.719 ** rewrote: walker36 -> WALKER36
1787252316.647 << @msgid=gzpwukjc4eqncfvkck8hhd35f6;time=2026-08-20T18:58:36.646Z;+typing=done :WALKER36!~u@f6u3beryjfghu.irc TAGMSG #run36
1787252316.647 ** rewrote: walker36 -> WALKER36
1787252337.394 << @msgid=ec64t64dgnm2piwgyijimb4w6i;time=2026-08-20T18:58:57.394Z;+typing=active :WALKER36!~u@f6u3beryjfghu.irc TAGMSG #run36
1787252337.394 ** rewrote: walker36 -> WALKER36
1787252338.329 << @msgid=8ytpmkbqmzepgqij6hua7a8rre;time=2026-08-20T18:58:58.329Z;+typing=done :WALKER36!~u@f6u3beryjfghu.irc TAGMSG #run36
1787252338.329 ** rewrote: walker36 -> WALKER36
1787252338.332 << @msgid=g69prr5zpeez8nb84ek9tffxwa;time=2026-08-20T18:58:58.331Z;+reply=2dp4sgjgy943y7anp6ahckncnn/react;+draft/react=6zfgw7rcmxtuhng94pgdays7bi :WALKER36!~u@f6u3beryjfghu.irc TAGMSG #run36
1787252338.332 ** rewrote: walker36 -> WALKER36
1787252387.205 << @msgid=dinz7fs7fxk242dztbqjecbzyw;time=2026-08-20T18:59:47.205Z;+typing=active :WALKER36!~u@f6u3beryjfghu.irc TAGMSG #run36
1787252387.205 ** rewrote: walker36 -> WALKER36
1787252388.420 << @time=2026-08-20T18:59:48.419Z;msgid=bekjf29sbgwwj7xwskty7jg8cw;+typing=done :WALKER36!~u@f6u3beryjfghu.irc TAGMSG #run36
1787252388.420 ** rewrote: walker36 -> WALKER36
1787252388.423 << @msgid=9dg6knaqgmbdhvbi9wgrybrjsw;time=2026-08-20T18:59:48.422Z;+reply=6zfgw7rcmxtuhng94pgdays7bi;+draft/react=hot :WALKER36!~u@f6u3beryjfghu.irc TAGMSG #run36
1787252388.423 ** rewrote: walker36 -> WALKER36
