minute,whole,ircx,WebKitWebProcess,WebKitNetworkProcess,anon,file,widest
0.0,98.1,62.0,17.4,18.7,10.1,47.9,0.1
0.5,261.0,72.2,168.8,20.0,99.2,181.1,11.1
1.0,269.6,72.7,177.0,20.0,107.4,181.1,11.1
1.5,276.6,73.1,183.4,20.0,113.8,181.1,10.0
2.0,282.7,73.6,189.1,20.0,119.6,181.1,11.2
2.5,281.7,74.0,187.7,20.0,118.7,181.1,11.2
3.0,285.7,74.0,191.7,20.0,122.2,181.1,10.1
3.5,297.5,74.0,203.5,20.0,134.0,181.1,10.1
4.0,303.6,74.0,209.6,20.0,140.2,181.1,11.2
4.5,304.9,74.0,210.9,20.0,141.4,181.1,10.1
5.0,304.8,74.0,210.8,20.0,141.3,181.1,11.2
5.5,310.5,74.0,216.5,20.0,147.0,181.1,11.2
6.0,308.1,74.0,214.1,20.0,144.6,181.1,10.1
6.5,317.4,74.0,223.3,20.0,153.8,181.1,10.1
7.0,321.1,74.0,227.1,20.0,157.6,181.1,11.2
7.5,322.5,74.0,228.4,20.0,158.9,181.1,10.1
8.0,331.9,74.0,237.9,20.0,168.4,181.1,10.1
8.5,331.2,74.0,237.1,20.0,167.8,181.1,10.1
9.0,332.3,74.0,238.2,20.0,168.8,181.1,10.1
9.5,333.9,74.0,239.8,20.0,170.3,181.1,10.1
10.0,335.6,74.0,241.6,20.0,172.2,181.1,10.1
10.5,345.2,74.0,251.2,20.0,176.2,181.1,10.8
11.0,344.5,74.0,250.4,20.0,181.0,181.1,11.0
11.5,345.8,74.0,251.8,20.0,182.3,181.1,11.1
12.0,350.3,74.0,256.2,20.0,187.1,181.1,10.8
12.5,350.0,74.0,255.9,20.0,186.4,181.1,10.5
13.0,350.5,74.0,256.5,20.0,187.0,181.1,10.5
13.5,350.9,74.0,256.9,20.0,187.4,181.1,11.2
14.0,351.6,74.0,257.6,20.0,188.2,181.1,10.5
14.5,351.4,74.0,257.4,20.0,188.3,181.1,10.5
15.0,351.4,74.0,257.3,20.0,187.8,181.1,10.5
15.5,355.3,74.0,261.2,20.0,191.7,181.1,11.8
16.0,355.4,74.1,261.2,20.0,191.8,181.1,11.8
16.5,356.9,74.1,262.7,20.0,193.2,181.1,11.8
17.0,357.1,74.1,263.0,20.0,193.9,181.1,11.8
17.5,357.2,74.0,263.3,19.9,194.4,181.1,11.8
18.1,357.6,74.0,263.7,19.9,194.3,181.1,11.8
18.6,358.4,74.0,264.4,19.9,195.0,181.1,11.8
19.1,359.0,74.0,265.0,19.9,195.8,181.1,11.8
19.6,359.2,74.0,265.2,19.9,196.0,181.1,11.8
20.1,358.3,74.0,264.4,19.9,195.4,181.1,11.8
20.6,358.3,74.0,264.4,19.9,195.3,181.1,11.8
21.1,364.8,74.0,270.9,19.9,201.5,181.1,11.8
21.6,365.1,74.0,271.1,19.9,201.7,181.1,11.8
22.1,365.3,74.0,271.3,19.9,202.0,181.1,11.8
22.6,375.1,74.2,280.9,20.0,211.4,181.1,20.5
23.1,372.3,74.2,278.1,20.0,208.8,181.1,20.5
23.6,374.7,74.2,280.5,20.0,210.8,181.1,21.5
24.1,374.9,74.2,280.6,20.0,211.2,181.1,20.5
24.6,377.0,74.2,282.8,20.0,213.4,181.1,20.5
25.1,374.9,74.2,280.7,20.0,211.5,181.1,19.5
25.6,378.7,74.2,284.5,20.0,215.0,181.1,20.5
26.1,379.0,74.2,284.8,20.0,215.4,181.1,20.5
26.6,378.6,74.2,284.4,20.0,215.0,181.1,20.5
27.1,379.9,74.2,285.7,20.0,216.2,181.1,20.5
27.6,382.8,74.2,288.6,20.0,219.3,181.1,20.5
28.1,376.9,74.2,282.6,20.0,213.6,181.1,20.5
28.6,382.1,74.2,287.8,20.0,218.8,181.1,21.5
29.1,382.2,74.2,288.0,20.0,218.9,181.1,20.5
29.6,371.9,74.2,277.7,20.0,208.3,181.1,11.1
30.1,374.8,74.2,280.6,20.0,211.1,181.1,10.8
30.6,374.9,74.2,280.7,20.0,211.1,181.1,10.8
31.1,374.9,74.2,280.7,20.0,211.2,181.1,11.1
31.6,377.5,74.2,283.3,20.0,213.8,181.1,13.5
32.1,375.7,74.2,281.4,20.0,212.0,181.1,13.5
32.6,376.5,74.2,282.3,20.0,212.8,181.1,12.5
33.1,378.4,74.2,284.2,20.0,211.6,181.1,12.0
33.6,378.9,74.2,284.7,20.0,215.2,181.1,17.0
34.1,377.6,74.2,283.4,20.0,213.9,181.1,11.1
34.6,377.9,74.2,283.7,20.0,214.2,181.1,16.0
35.1,373.6,74.2,279.3,20.0,209.8,181.1,10.8
35.6,375.6,74.2,281.3,20.0,212.1,181.1,16.0
36.1,382.5,74.2,288.3,20.0,218.8,181.1,21.0
36.6,376.5,74.2,282.3,20.0,212.8,181.1,12.0
37.1,382.6,74.2,288.4,20.0,218.9,181.1,20.0
37.6,381.3,74.2,287.1,20.0,217.6,181.1,12.0
38.1,380.8,74.2,286.6,20.0,217.1,181.1,21.0
38.6,384.9,74.2,290.7,20.0,221.2,181.1,20.0
39.1,385.7,74.2,291.5,20.0,222.0,181.1,18.0
39.6,388.9,74.2,294.7,20.0,225.2,181.1,19.0
40.1,390.2,74.2,295.9,20.0,226.5,181.1,17.0
40.6,394.2,74.2,300.0,20.0,230.5,181.1,19.0
41.1,391.5,74.2,297.3,20.0,227.8,181.1,19.0
41.6,393.0,74.2,298.7,20.0,229.2,181.1,18.0
42.1,391.2,74.2,297.0,20.0,227.8,181.1,18.0
42.6,390.3,74.2,296.0,20.0,227.2,181.1,19.0
43.1,395.9,74.2,301.7,20.0,232.3,181.1,19.0
43.6,389.3,74.2,295.0,20.0,225.8,181.1,19.0
44.1,390.9,74.2,296.7,20.0,227.2,181.1,15.0
44.6,394.9,74.2,300.7,20.0,231.5,181.1,18.0
45.1,406.7,74.2,312.4,20.0,243.3,181.1,15.0
45.6,410.1,74.2,315.9,20.0,246.4,181.1,14.0
46.1,402.7,74.2,308.5,20.0,239.0,181.1,11.2
46.6,402.8,74.2,308.6,20.0,239.1,181.2,11.2
47.1,401.4,74.2,307.2,20.0,237.7,181.2,11.2
47.6,404.3,74.2,310.0,20.0,240.7,181.2,11.1
48.1,407.0,74.2,312.7,20.0,243.2,181.2,11.2
48.6,405.2,74.2,310.9,20.0,242.9,181.2,11.2
49.1,406.7,74.2,312.5,20.0,243.1,181.2,11.2
49.6,400.2,74.2,306.0,20.0,236.5,181.2,11.1
50.1,400.6,74.2,306.3,20.0,237.1,181.2,11.2
50.6,402.6,74.2,308.4,20.0,239.0,181.2,11.2
51.1,398.9,74.2,304.7,20.0,235.4,181.2,11.2
51.6,401.9,74.2,307.7,20.0,238.2,181.2,11.2
52.1,404.9,74.2,310.7,20.0,241.1,181.2,11.1
52.7,404.2,74.2,310.0,20.0,237.4,181.2,11.1
53.2,403.3,74.2,309.1,20.0,240.0,181.2,11.2
53.7,404.5,74.2,310.3,20.0,240.8,181.2,11.2
54.2,403.6,74.2,309.4,20.0,240.3,181.2,11.2
54.7,405.2,74.2,310.9,20.0,241.4,181.2,11.1
55.2,402.0,74.2,307.8,20.0,238.3,181.2,11.2
55.7,407.7,74.2,313.5,20.0,244.0,181.2,18.0
56.2,409.8,74.2,315.6,20.0,246.0,181.2,18.0
56.7,408.5,74.2,314.2,20.0,244.7,181.2,17.0
57.2,406.4,74.2,312.1,20.0,242.6,181.2,17.0
57.7,407.4,74.2,313.2,20.0,243.6,181.2,18.0
58.2,405.8,74.2,311.6,20.0,242.0,181.2,18.0
58.7,409.8,74.2,315.5,20.0,246.2,181.2,17.0
59.2,412.5,74.2,318.3,20.0,249.0,181.2,18.0
59.7,409.7,74.2,315.5,20.0,245.9,181.2,18.0
60.2,344.3,73.6,250.7,20.0,181.2,181.2,8.8
60.7,342.5,73.6,248.9,20.0,179.4,181.2,8.8
61.2,342.5,73.6,248.9,20.0,179.4,181.2,8.8
61.7,342.5,73.6,248.9,20.1,179.4,181.2,8.8
62.2,342.7,73.7,249.0,20.1,179.5,181.2,8.8
62.7,342.7,73.7,249.0,20.1,179.5,181.2,8.8
63.2,342.7,73.7,249.0,20.1,179.5,181.2,8.8
63.7,342.7,73.7,249.0,20.1,179.5,181.2,8.8
64.2,342.2,73.6,248.5,20.1,179.1,181.2,8.8
64.7,342.2,73.6,248.5,20.1,179.1,181.2,8.8
65.2,342.2,73.6,248.5,20.1,179.1,181.2,8.8
65.7,342.5,73.6,248.9,20.1,179.5,181.2,8.8
66.2,342.6,73.7,248.8,20.1,179.3,181.2,8.8
66.7,342.6,73.7,248.8,20.1,179.3,181.2,8.8
67.2,342.6,73.7,248.8,20.1,179.3,181.2,8.8
67.7,342.6,73.7,248.8,20.1,179.3,181.2,8.8
68.2,342.4,73.6,248.8,20.1,179.4,181.2,8.8
68.7,342.2,73.6,248.5,20.1,179.1,181.2,8.8
69.2,342.2,73.6,248.5,20.1,179.1,181.2,8.8
69.7,342.2,73.6,248.5,20.1,179.1,181.2,8.8
70.2,342.5,73.7,248.7,20.1,179.3,181.2,8.8
70.7,342.5,73.7,248.7,20.1,179.3,181.2,8.8
71.2,342.5,73.7,248.7,20.1,179.3,181.2,8.8
71.7,342.5,73.7,248.7,20.1,179.3,181.2,8.8
72.2,342.4,73.6,248.8,20.1,179.3,181.2,8.8
72.7,342.4,73.6,248.8,20.1,179.3,181.2,8.8
73.2,343.9,73.6,250.3,20.1,180.8,181.2,8.8
73.7,342.2,73.6,248.5,20.1,179.1,181.2,8.8
74.2,342.5,73.7,248.7,20.1,179.3,181.2,8.8
74.7,342.5,73.7,248.7,20.1,179.3,181.2,8.8
75.2,342.5,73.7,248.7,20.1,179.3,181.2,8.8
75.7,342.5,73.7,248.7,20.1,179.3,181.2,8.8
76.2,342.4,73.6,248.8,20.1,179.3,181.2,8.8
76.7,342.4,73.6,248.8,20.1,179.3,181.2,8.8
77.2,343.6,73.4,250.2,19.9,180.8,181.2,8.8
77.7,341.8,73.4,248.4,19.9,179.1,181.2,8.8
78.2,342.2,73.6,248.6,19.9,179.3,181.2,8.8
78.7,342.2,73.6,248.6,19.9,179.3,181.2,8.8
79.2,342.2,73.6,248.6,19.9,179.3,181.2,8.8
79.7,342.2,73.6,248.6,19.9,179.3,181.2,8.8
80.2,342.2,73.5,248.7,19.9,179.3,181.2,8.8
80.7,341.9,73.5,248.4,19.9,179.1,181.2,8.8
81.2,341.9,73.5,248.4,19.9,179.1,181.2,8.8
81.7,341.9,73.5,248.4,19.9,179.1,181.2,8.8
82.2,342.5,73.7,248.7,20.1,179.3,181.2,8.8
82.7,342.5,73.7,248.7,20.1,179.3,181.2,8.8
83.2,342.5,73.7,248.7,20.1,179.3,181.2,8.8
83.8,342.5,73.7,248.7,20.1,179.3,181.2,8.8
84.3,342.4,73.6,248.8,20.1,179.3,181.2,8.8
84.8,342.4,73.6,248.8,20.1,179.4,181.2,8.8
85.3,343.8,73.6,250.2,20.1,180.7,181.2,8.8
85.8,342.2,73.6,248.6,20.1,179.1,181.2,8.8
86.3,342.5,73.7,248.7,20.1,179.3,181.2,8.8
86.8,342.5,73.7,248.8,20.1,179.3,181.2,8.8
87.3,342.6,73.7,248.8,20.1,179.3,181.2,8.8
87.8,342.6,73.7,248.8,20.1,179.3,181.2,8.8
88.3,342.4,73.6,248.8,20.1,179.4,181.2,8.8
88.8,342.4,73.6,248.8,20.1,179.4,181.2,8.8
89.3,344.0,73.6,250.3,20.1,180.9,181.2,8.8
89.8,342.2,73.6,248.6,20.1,179.1,181.2,8.8
